"","Id","ActivityDate","TotalSteps","TotalDistance","TrackerDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","TotalMinutesAsleep","TotalTimeInBed","HeartrateMean","Sleep8h","IsActive"
"1",2026352035,2016-04-17,838,0.519999980926514,0.519999980926514,0,0,0.519999980926514,0,0,60,1053,1214,437,498,68.65625,FALSE,FALSE
"2",2026352035,2016-04-25,6017,3.73000001907349,3.73000001907349,0,0,3.73000001907349,0,0,260,821,1576,506,531,99.5058139534884,TRUE,FALSE
"3",2026352035,2016-05-02,7018,4.34999990463257,4.34999990463257,0,0,4.34999990463257,0,0,355,716,1690,511,543,84.1345707656613,TRUE,FALSE
"4",2026352035,2016-05-09,10685,6.61999988555908,6.61999988555908,0,0,6.59999990463257,0,0,401,543,1869,531,556,98.2339008142117,TRUE,FALSE
"5",2347167796,2016-04-13,10352,7.01000022888184,7.01000022888184,1.6599999666214,1.94000005722046,3.41000008583069,19,32,195,676,2038,467,531,73.8129046180406,FALSE,TRUE
"6",2347167796,2016-04-14,10129,6.69999980926514,6.69999980926514,0.0199999995529652,2.74000000953674,3.94000005722046,1,48,206,705,2010,445,489,72.5794821370043,FALSE,TRUE
"7",2347167796,2016-04-15,10465,6.92000007629395,6.92000007629395,0.0700000002980232,1.41999995708466,5.42999982833862,1,24,284,720,2133,452,504,75.685256879774,FALSE,FALSE
"8",2347167796,2016-04-17,5472,3.61999988555908,3.61999988555908,0.0799999982118607,0.280000001192093,3.25999999046326,1,7,249,508,1882,556,602,75.3621802002225,TRUE,FALSE
"9",2347167796,2016-04-18,8247,5.44999980926514,5.44999980926514,0.790000021457672,0.860000014305115,3.78999996185303,11,16,206,678,1944,500,557,71.2321447692472,TRUE,FALSE
"10",2347167796,2016-04-19,6711,4.44000005722046,4.44000005722046,0,0,4.44000005722046,0,7,382,648,2346,465,514,81.3009969325153,FALSE,FALSE
"11",2347167796,2016-04-21,10080,6.75,6.75,1.85000002384186,1.52999997138977,3.38000011444092,23,26,208,761,2048,460,484,73.4142534180213,FALSE,TRUE
"12",2347167796,2016-04-22,7804,5.15999984741211,5.15999984741211,0.560000002384186,1.67999994754791,2.92000007629395,9,27,206,781,1946,405,461,71.9964020933275,FALSE,TRUE
"13",2347167796,2016-04-23,16901,11.3699998855591,11.3699998855591,2.77999997138977,1.45000004768372,7.15000009536743,32,35,360,591,2629,374,386,83.4330923189773,FALSE,TRUE
"14",2347167796,2016-04-24,9471,6.26000022888184,6.26000022888184,0,0,6.26000022888184,0,0,360,584,2187,442,459,77.5759737318841,FALSE,FALSE
"15",2347167796,2016-04-25,9482,6.38000011444092,6.38000011444092,1.26999998092651,0.519999980926514,4.59999990463257,15,11,277,653,2095,433,471,73.8613560033585,FALSE,FALSE
"16",2347167796,2016-04-26,5980,3.95000004768372,3.95000004768372,0,0,3.95000004768372,0,0,227,732,1861,436,490,71.7317965200044,FALSE,FALSE
"17",2347167796,2016-04-27,11423,7.57999992370605,7.57999992370605,1.86000001430511,0.400000005960464,5.32000017166138,26,9,295,623,2194,448,499,75.1936213526351,FALSE,TRUE
"18",2347167796,2016-04-28,5439,3.59999990463257,3.59999990463257,0,0,3.59999990463257,0,0,229,764,1854,408,450,73.4085413200222,FALSE,FALSE
"19",2347167796,2016-04-29,42,0.0299999993294477,0.0299999993294477,0,0,0.0299999993294477,0,0,4,2,403,411,473,62.8697123519459,FALSE,FALSE
"20",4020332650,2016-04-12,8539,6.11999988555908,6.11999988555908,0.150000005960464,0.239999994635582,5.67999982833862,4,15,331,712,3654,501,541,83.4990136324824,TRUE,FALSE
